
---------- Begin Simulation Statistics ----------
simSeconds                                   0.056452                       # Number of seconds simulated (Second)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                 7654700                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted           2832156                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect            146489                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups              4338283                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                 4335540                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.999368                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                 1592441                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                 11                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups            6137                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits               4020                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses             2117                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          620                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts        12174316                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls          917666                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts            146498                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples     54758488                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     1.579679                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     2.393911                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0        26571788     48.53%     48.53% # Number of insts commited each cycle (Count)
